acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed
0.0164863225072622,-0.7222303152084351,0.6411663889884949,-0.2808999717235565,-0.011092021130025387,-0.009169850498437881,2023-04-27 16:59:58.720870,8.0
0.0155165391042829,-0.7301907539367676,0.6343429088592529,-0.24944041669368744,-0.011092021130025387,-0.004588361829519272,2023-04-27 16:59:59.245011,8.5
0.0157589837908745,-0.7313969135284424,0.6338554620742798,-0.24944041669368744,-0.010786588303744793,-0.003977496176958084,2023-04-27 16:59:59.788392,9.0
0.016243876889348,-0.7321205735206604,0.6343429088592529,-0.24455349147319794,-0.009564857929944992,-0.003977496176958084,2023-04-27 17:00:00.334502,9.6
0.0150316469371319,-0.7326030731201172,0.6353176832199097,-0.24485892057418823,-0.009564857929944992,-0.0055046603083610535,2023-04-27 17:00:00.885787,10.1
0.0152740925550461,-0.7318794131278992,0.635805070400238,-0.24546979367733002,-0.012619184330105782,-0.003977496176958084,2023-04-27 17:00:01.436716,10.7
0.0140618635341525,-0.7313969135284424,0.6340991854667664,-0.2460806518793106,-0.009564857929944992,-0.003977496176958084,2023-04-27 17:00:01.970383,11.2
0.0155165391042829,-0.7333267331123352,0.6360487937927246,-0.24944041669368744,-0.010481155477464199,-0.004588361829519272,2023-04-27 17:00:02.515276,11.8
0.0145467547699809,-0.7328442335128784,0.6338554620742798,-0.2460806518793106,-0.012313751503825188,-0.004282929003238678,2023-04-27 17:00:03.066174,12.3
0.0167287681251764,-0.7309144735336304,0.6362925171852112,-0.24821868538856506,-0.010786588303744793,-0.003672064282000065,2023-04-27 17:00:03.617172,12.9
0.0150316469371319,-0.7323618531227112,0.6353176832199097,-0.24730238318443298,-0.009870289824903011,-0.004282929003238678,2023-04-27 17:00:04.168038,13.4
0.0157589837908745,-0.7333267331123352,0.6362925171852112,-0.24516436457633972,-0.010786588303744793,-0.004282929003238678,2023-04-27 17:00:04.706694,14.0
0.0152740925550461,-0.7330855131149292,0.6328807473182678,-0.24424806237220764,-0.011702885851264,-0.0055046603083610535,2023-04-27 17:00:05.247169,14.5
0.016243876889348,-0.7333267331123352,0.6355614066123962,-0.2466915249824524,-0.010786588303744793,-0.003672064282000065,2023-04-27 17:00:05.798100,15.1
0.0150316469371319,-0.7328442335128784,0.6350739598274231,-0.2469969540834427,-0.009870289824903011,-0.003061198629438877,2023-04-27 17:00:06.344840,15.6
0.0160014312714338,-0.7342916131019592,0.6348302960395813,-0.24394263327121735,-0.010175722651183605,-0.003672064282000065,2023-04-27 17:00:06.896085,16.2
0.0150316469371319,-0.7340503931045532,0.6348302960395813,-0.24791325628757477,-0.009564857929944992,-0.004588361829519272,2023-04-27 17:00:07.437988,16.7
0.0164863225072622,-0.7323618531227112,0.6345865726470947,-0.2460806518793106,-0.010481155477464199,-0.00519922748208046,2023-04-27 17:00:07.982170,17.2
0.0150316469371319,-0.7323618531227112,0.6348302960395813,-0.24760782718658447,-0.010175722651183605,-0.004588361829519272,2023-04-27 17:00:08.506400,17.8
0.0150316469371319,-0.7318794131278992,0.6338554620742798,-0.24791325628757477,-0.009870289824903011,-0.003366631455719471,2023-04-27 17:00:09.034607,18.3
0.0169712137430906,-0.7330855131149292,0.6348302960395813,-0.2469969540834427,-0.010175722651183605,-0.004282929003238678,2023-04-27 17:00:09.586942,18.8
0.0150316469371319,-0.7321205735206604,0.6336118578910828,-0.24730238318443298,-0.00742682907730341,-0.003061198629438877,2023-04-27 17:00:10.142086,19.4
0.0160014312714338,-0.7323618531227112,0.6340991854667664,-0.24516436457633972,-0.010786588303744793,-0.004588361829519272,2023-04-27 17:00:10.673766,19.9
0.0157589837908745,-0.7326030731201172,0.6345865726470947,-0.24485892057418823,-0.009870289824903011,-0.0055046603083610535,2023-04-27 17:00:11.219617,20.5
0.0143043091520667,-0.7326030731201172,0.6355614066123962,-0.2515784502029419,-0.010786588303744793,-0.003977496176958084,2023-04-27 17:00:11.765723,21.0
0.0157589837908745,-0.7321205735206604,0.6345865726470947,-0.24821868538856506,-0.009870289824903011,-0.004588361829519272,2023-04-27 17:00:12.316811,21.6
0.0152740925550461,-0.7316381335258484,0.6353176832199097,-0.24821868538856506,-0.008953992277383804,-0.004588361829519272,2023-04-27 17:00:12.860344,22.1
0.016243876889348,-0.7335679531097412,0.6350739598274231,-0.24821868538856506,-0.011702885851264,-0.004282929003238678,2023-04-27 17:00:13.402900,22.7
0.0150316469371319,-0.7326030731201172,0.6336118578910828,-0.2466915249824524,-0.010175722651183605,-0.004588361829519272,2023-04-27 17:00:13.952729,23.2
0.0157589837908745,-0.7321205735206604,0.6350739598274231,-0.24760782718658447,-0.009564857929944992,-0.003672064282000065,2023-04-27 17:00:14.486471,23.7
0.0155165391042829,-0.7321205735206604,0.6345865726470947,-0.24913498759269714,-0.008037694729864597,-0.004588361829519272,2023-04-27 17:00:15.041802,24.3
0.0160014312714338,-0.7323618531227112,0.6340991854667664,-0.24516436457633972,-0.011092021130025387,-0.00519922748208046,2023-04-27 17:00:15.590045,24.9
0.0150316469371319,-0.7326030731201172,0.6350739598274231,-0.2460806518793106,-0.010175722651183605,-0.003366631455719471,2023-04-27 17:00:16.114185,25.4
0.0155165391042829,-0.7328442335128784,0.6338554620742798,-0.2457752227783203,-0.009564857929944992,-0.003977496176958084,2023-04-27 17:00:16.638296,25.9
