x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,label
0.37884116,0.5497304,0.5127896,0.6717999,0.50502294,0.38569555,0.73217344,0.74322766,0.70289826,0.28971776,0.7372447,0.6958539,0.7631948,0.26380202,0.782308,0.61162245,0.7729868,0.40759313,Stable
0.37992698,0.5517349,0.51459956,0.66974986,0.5061181,0.3830641,0.75457066,0.7604561,0.70088494,0.28902978,0.7235007,0.69887316,0.76146114,0.2724458,0.78091145,0.6045268,0.77114606,0.40178275,Stable
0.3856132,0.5524052,0.51432824,0.6704123,0.50670826,0.38445342,0.75521654,0.7595286,0.7031652,0.28654093,0.72082317,0.7049317,0.7591758,0.28181472,0.7788109,0.60301983,0.7716374,0.40116483,Stable
0.38550922,0.55200016,0.5142551,0.6702541,0.5066665,0.38448644,0.755159,0.7594733,0.70313233,0.28658232,0.72073746,0.70503175,0.759186,0.28183672,0.7786851,0.6030475,0.77157617,0.40123412,Stable
0.39220023,0.5557845,0.5141072,0.6613208,0.50855815,0.3824004,0.75245,0.7556356,0.693546,0.2961087,0.7394999,0.70991033,0.75968647,0.27743924,0.77698684,0.602448,0.7706938,0.40149617,Stable
0.39289653,0.55333227,0.51955146,0.6630301,0.5101761,0.3817292,0.7546115,0.7557606,0.7008287,0.286483,0.7546338,0.70254815,0.7579848,0.27127373,0.77834225,0.60171294,0.7713615,0.399561,Stable
0.40210268,0.55948675,0.5233512,0.66448164,0.51089966,0.38149327,0.7528187,0.75665116,0.7034797,0.2865333,0.75257385,0.67243356,0.7542352,0.27695107,0.7791116,0.6041526,0.7708458,0.40296727,Stable
0.40595728,0.55741745,0.5216437,0.6620028,0.5124197,0.37958038,0.7576248,0.7590482,0.7053803,0.28786808,0.73579425,0.7081513,0.7526983,0.2799272,0.7814473,0.6023411,0.77690566,0.40145373,Stable
0.40581685,0.5572219,0.5217232,0.66226625,0.51243186,0.3795477,0.7577586,0.75909823,0.70540273,0.2879944,0.7358242,0.7081823,0.75270677,0.27991942,0.7814304,0.6024301,0.77684987,0.4014352,Stable
0.4063458,0.55786896,0.52435607,0.6681123,0.5152051,0.37832093,0.75764966,0.75915015,0.7242745,0.27505726,0.72307265,0.7078028,0.75772035,0.2825277,0.78274816,0.6021837,0.77807325,0.40328228,Stable
0.39822158,0.5588987,0.5217532,0.6699884,0.5144403,0.38090658,0.7336518,0.74276376,0.7208268,0.2741814,0.74052536,0.7180821,0.76156986,0.2854913,0.7815492,0.6099413,0.7752292,0.41116565,Stable
0.3964047,0.56476474,0.5176314,0.6738633,0.5141953,0.3829641,0.73168564,0.74295944,0.7177775,0.27897853,0.7392577,0.72074026,0.7654903,0.2958281,0.78356856,0.61045444,0.7777001,0.41374826,Stable
0.39772707,0.5645571,0.5203943,0.6748105,0.51147765,0.3808661,0.75215936,0.7587096,0.7203957,0.2862716,0.7497971,0.7307669,0.7641954,0.2887652,0.7801155,0.616768,0.7760488,0.41231382,Stable
0.39773238,0.56472117,0.52049464,0.6740165,0.51151055,0.3808338,0.7520101,0.75873923,0.71385896,0.28982425,0.75066686,0.721558,0.7641698,0.2886657,0.7829396,0.60986316,0.77467537,0.4121725,Stable
0.4069373,0.5716435,0.51569206,0.6688406,0.5098938,0.386679,0.7290868,0.74371624,0.70462644,0.29070568,0.7591716,0.7416158,0.76547116,0.2789454,0.77789533,0.606223,0.7747628,0.41136557,Stable
0.4006599,0.5620108,0.5145916,0.67266315,0.51171595,0.38140982,0.7462582,0.75991106,0.7255129,0.27225015,0.7258252,0.7380841,0.765136,0.2866225,0.779905,0.6069689,0.77424765,0.40269524,Stable
0.40147325,0.5697907,0.5153725,0.67172265,0.5121513,0.38470623,0.75749254,0.7657697,0.7236518,0.2778023,0.7028682,0.7342049,0.7646606,0.28353584,0.7820329,0.60381806,0.77740043,0.40328205,Stable
0.40319178,0.5778783,0.51433194,0.6748657,0.5149345,0.3822409,0.75300896,0.76244926,0.72872204,0.26523432,0.7032437,0.73553985,0.7618603,0.28299263,0.7797167,0.60547155,0.7786707,0.40388107,Stable
0.4032628,0.5777398,0.5144854,0.6750238,0.51494056,0.3823247,0.75301576,0.76249737,0.728759,0.26522735,0.7031994,0.73552275,0.7616095,0.2829389,0.779859,0.60554236,0.7787415,0.40386534,Stable
0.40479657,0.5745366,0.51742995,0.6727583,0.51384985,0.38297588,0.75456464,0.761942,0.72712415,0.26551175,0.7075337,0.7348188,0.7571683,0.2778427,0.7824592,0.5957675,0.7767912,0.39952004,Stable
0.39725494,0.5612332,0.51551604,0.68193763,0.51239455,0.38436174,0.7580042,0.7651222,0.727494,0.26965216,0.7263471,0.7369672,0.760435,0.27858806,0.78328073,0.6075408,0.77611184,0.40731955,Stable
