Epoch: 1 | Train loss: 0.0010210813872579242 | Validation loss: 0.0007782962822017533
Epoch: 2 | Train loss: 0.0008418381380015348 | Validation loss: 0.0007705467233639259
Epoch: 3 | Train loss: 0.0007970386151702607 | Validation loss: 0.0007723389141183149
Epoch: 4 | Train loss: 0.0007585229238309451 | Validation loss: 0.0008031572556407718
Epoch: 5 | Train loss: 0.0007379875120563149 | Validation loss: 0.0006206993323814473
Epoch: 6 | Train loss: 0.0007206195349160963 | Validation loss: 0.000725314410719734
Epoch: 7 | Train loss: 0.0007022329737772667 | Validation loss: 0.0006953419594005689
Epoch: 8 | Train loss: 0.0006949365524435031 | Validation loss: 0.0006456348375796418
Epoch: 9 | Train loss: 0.0006794994810866493 | Validation loss: 0.000604337268077694
Epoch: 10 | Train loss: 0.0006633104841251827 | Validation loss: 0.0006044047341805173
