Epoch: 1 | Train loss: 0.0071973842849647135 | Validation loss: 0.00501882411741787
Epoch: 2 | Train loss: 0.005591095569012342 | Validation loss: 0.005284019131247582
Epoch: 3 | Train loss: 0.004902872687219477 | Validation loss: 0.0048032270623758104
Epoch: 4 | Train loss: 0.004152578116380312 | Validation loss: 0.003568283290987092
Epoch: 5 | Train loss: 0.0036670963926048886 | Validation loss: 0.0031233478831579854
Epoch: 6 | Train loss: 0.0032844760861999887 | Validation loss: 0.0036733260378383854
Epoch: 7 | Train loss: 0.0030164976627155868 | Validation loss: 0.002916470565278115
Epoch: 8 | Train loss: 0.0028979934878649604 | Validation loss: 0.003028056549224581
Epoch: 9 | Train loss: 0.002599602287509719 | Validation loss: 0.0024592467985370126
Epoch: 10 | Train loss: 0.0024102707508721977 | Validation loss: 0.0022234431867060637
