Epoch: 1 | Train loss: 0.010441743591321436 | Validation loss: 0.010923902875906617
Epoch: 2 | Train loss: 0.010675345935634921 | Validation loss: 0.010825188145523067
Epoch: 3 | Train loss: 0.0080346371038215 | Validation loss: 0.0062133046911265425
Epoch: 4 | Train loss: 0.005484098158103957 | Validation loss: 0.0040433050162889846
Epoch: 5 | Train loss: 0.003819424386740832 | Validation loss: 0.003359721865918269
Epoch: 6 | Train loss: 0.0031322169171692205 | Validation loss: 0.002874880404275481
Epoch: 7 | Train loss: 0.002923423051848338 | Validation loss: 0.002964744062736758
Epoch: 8 | Train loss: 0.002815872843844519 | Validation loss: 0.002543691920328169
Epoch: 9 | Train loss: 0.002603886286073924 | Validation loss: 0.002625205675133619
Epoch: 10 | Train loss: 0.002489331584078715 | Validation loss: 0.002794594822024806
