Epoch: 1 | Train loss: 0.0027477925777415545 | Validation loss: 0.0028937700756514217
Epoch: 2 | Train loss: 0.002447665435305255 | Validation loss: 0.0025304696791863535
Epoch: 3 | Train loss: 0.0022077071355705016 | Validation loss: 0.0021387497368300762
Epoch: 4 | Train loss: 0.002059003446052633 | Validation loss: 0.0019270167336321979
Epoch: 5 | Train loss: 0.0019385719463480135 | Validation loss: 0.002099405273627836
Epoch: 6 | Train loss: 0.0018603629529988814 | Validation loss: 0.0021896757390015907
Epoch: 7 | Train loss: 0.001788611870789114 | Validation loss: 0.0017638055806776308
Epoch: 8 | Train loss: 0.0018577848663592406 | Validation loss: 0.0019054424595200364
Epoch: 9 | Train loss: 0.0016857818307515564 | Validation loss: 0.0017946998423316535
Epoch: 10 | Train loss: 0.001624091605972487 | Validation loss: 0.0015611662890820685
